[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Tuesday, September 20, 2016 00:01:40
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Tuesday, September 20, 2016 00:01:40
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Tuesday, September 20, 2016 00:00:42
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Tuesday, September 20, 2016 00:00:40
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:59:41
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:59:39
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:58:43
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:58:40
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:57:41
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:57:40
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:56:40
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:56:40
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:55:39
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:55:39
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:54:38
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:54:38
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:53:40
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:53:37
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:52:38
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:52:36
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:51:37
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:51:36
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:50:36
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:50:35
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:49:35
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:49:35
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:48:34
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:48:34
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:47:36
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:47:33
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:46:34
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:46:32
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:45:33
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:45:30
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:44:32
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:44:30
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:43:31
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:43:31
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:42:33
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:42:30
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:41:31
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:41:29
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:40:30
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:40:30
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:39:29
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:39:29
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:38:28
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:38:28
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:37:30
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:37:28
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:36:28
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:36:27
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:35:27
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:35:26
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:34:26
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:34:26
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:33:25
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:33:25
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:32:24
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:32:24
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:31:26
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:31:24
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:30:24
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:30:22
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:29:23
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:29:23
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:28:22
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:28:22
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:27:24
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:27:22
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:27:05
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:26:23
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:26:21
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:25:21
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:25:20
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:24:20
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:24:19
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:23:19
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:23:18
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:22:21
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:22:19
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:21:20
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:21:19
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:20:18
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:20:18
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:19:17
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:19:17
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:18:19
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:18:18
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:17:18
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:17:17
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:16:17
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:16:16
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:15:19
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:15:16
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:14:17
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:14:15
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 45279, Monday, September 19, 2016 23:13:16
[DoS Attack: IP Spoofing] from source: 192.168.1.1, port 2190, Monday, September 19, 2016 23:13:15
